Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,DNA Repair Pathways Full Network WP4946,0.5578528625624025,2.1022234054457614,0.0,0.027293404094010612,0.02,45/120,20.05%,USP1;PRKDC;FANCI;PCNA;BRCA1;CHEK1;NEIL3;POLE;XRCC5;EXO1;HMGB1;RFC3;POLE2;RFC5;MSH2;FEN1;RFC2;PARP1;RPA3;ERCC5;SMUG1;RPA1;POLD3;RAD23B;RPA2;PARP2;RFC1;FANCL;XRCC4;DDB2;H2AFX;UNG;GTF2H1;PNKP;NHEJ1;MBD4;FANCA;FANCC;RAD51;RFC4;POLD1;RAD50;CETN2;LIG1;POLM
gsea,Regulation of sister chromatid separation at the metaphase-anaphase transition WP4240,0.7921058353204868,2.052781108733931,0.0,0.020470053070507963,0.03,12/15,15.26%,BUB1;BUB1B;RAD21;CENPE;SMC1A;PTTG1;STAG1;MAD2L1;ESPL1;SMC3;BUB3;ANAPC2
gsea,DNA IR-damage and cellular response via ATR WP4016,0.6677861396211301,2.0485923034664792,0.0,0.013646702047005308,0.03,34/80,15.86%,USP1;CDK2;PLK1;PRKDC;FANCI;PCNA;BRCA1;SMC1A;E2F1;CHEK1;CLSPN;CDK1;MCM2;TOPBP1;EEF1E1;XRCC5;EXO1;MDC1;RECQL;FOXM1;RFWD3;MSH2;FEN1;PARP1;RPA1;RPA2;RBBP8;H2AFX;CDC25C;UIMC1;CDC45;FANCA;RAD51;HUS1
gsea,Cell cycle WP179,0.571416032474468,2.01696292218849,0.0,0.013646702047005306,0.04,58/120,26.21%,BUB1;RAD21;CDK2;ORC1;ANAPC1;PLK1;PRKDC;MCM6;TTK;CDC6;CDC25A;PCNA;SMC1A;E2F1;YWHAE;CHEK1;CDK1;MCM2;MCM3;MCM5;YWHAH;PTTG1;STAG1;ORC3;CCND3;CCNB2;CDK6;PKMYT1;ORC6;ESPL1;CDC27;CDC25C;SMC3;BUB3;YWHAZ;CDC7;CDC45;MCM7;ANAPC2;MCM4;CCNB1;RB1;CDC23;ORC4;HDAC2;ORC2;E2F3;YWHAB;CDC20;ANAPC10;SKP1;GSK3B;CUL1;ATR;YWHAQ;CCNE1;SFN;DBF4
gsea,Retinoblastoma gene in cancer WP2446,0.678974655503648,2.0073179876071996,0.0,0.010917361637604246,0.04,49/87,20.41%,KIF4A;RRM1;CDK2;ORC1;PRKDC;MCM6;TTK;TOP2A;CDC25A;PCNA;SMC1A;DHFR;E2F1;CHEK1;POLE;CDK1;TYMS;MCM3;HMGB1;RFC3;POLE2;ANLN;RFC5;PLK4;DCK;RPA3;SIN3A;CCND3;RPA1;POLD3;CCNB2;CDK6;RPA2;SMC2;CCDC6;SUV39H1;SMC3;CDC7;CDC45;POLA1;MCM7;MCM4;RFC4;CCNB1;RB1;E2F3;PRIM1;FAF1;HLTF
gsea,DNA Mismatch Repair WP531,0.7245625517733936,1.8609322358518234,0.0,0.040940106141015925,0.11,13/23,9.13%,PCNA;POLE;EXO1;RFC3;POLE2;RFC5;MSH2;RFC2;RPA3;RPA1;POLD3;RPA2;RFC1
gsea,DNA Replication WP466,0.7511656906775502,1.8494568048486526,0.0,0.04873822159644753,0.14,33/42,20.18%,CDK2;ORC1;MCM6;CDC6;PCNA;POLE;MCM2;MCM3;MCM5;RFC3;POLE2;RFC5;MCM10;RFC2;GMNN;RPA3;ORC3;RPA1;POLD3;RPA2;ORC6;RFC1;PRIM2;CDC7;CDC45;POLA1;MCM7;MCM4;RFC4;POLD1;ORC4;ORC2;PRIM1
gsea,Nucleotide Excision Repair WP4753,0.5275836984656175,1.835561450698461,0.0,0.04264594389689159,0.14,19/44,19.61%,PCNA;POLE;RFC3;POLE2;RFC5;RFC2;RPA3;ERCC5;RPA1;POLD3;RAD23B;RPA2;RFC1;DDB2;GTF2H1;RFC4;POLD1;CETN2;LIG1
gsea,ATM Signaling Network in Development and Disease  WP3878,0.5239164541465912,1.812915081377336,0.0,0.0530705079605762,0.16,12/45,11.25%,AURKB;BUB1;PRKDC;SMC1A;CHEK1;CDK1;MDC1;RNF20;RNF8;LBR;RBBP8;H2AFX
gsea,Base Excision Repair WP4752,0.6071142553453813,1.76828394445118,0.02127659574468085,0.08051554207733132,0.25,13/31,13.21%,PCNA;NEIL3;POLE;HMGB1;POLE2;FEN1;PARP1;SMUG1;POLD3;PARP2;UNG;PNKP;MBD4
