Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
microtubule cytoskeleton organization involved in mitosis (GO:1902850),-0.6577041087499736,-2.320323437413161,0.0,0.0,128,120,SEC13;MAP4;SUN2;B9D2;TUBG2;PAFAH1B1;NEK9;RCC1;CLIP1;MECP2;DCTN2;MAD1L1;PTPA;NDE1;TAOK1;DYNLL1;CENPT;NUDC;ENST00000631021.3;CENPS;PMF1;DYNLL2;ITGB3BP;NDEL1;CLASP1;RANGAP1;PLK2;KIF3B;NSL1;NUP160;CENPO;STMN1;SKA1;INTS13;CENPP;STIL;DYNC1LI2;TACC3;EFHC1;AURKA;DYNC1H1;RMDN1;NUF2;TNKS;NUP98;RAN;SETD2;KPNB1;ZWILCH;NEK6;SGO2;SBDS;DCTN6;CDC20;BCCIP;RPS27;AHCTF1;AURKB;EML4;ZW10;TBCE;BIRC5;CCNB1;MIS12;CLASP2;CENPI;DLGAP5;NUP37;NUP85;CENPM;BUB3;NUP107;ZWINT;CENPA;DYNC1I2;CKAP5;RANBP2;PCNT;NUP133;CENPN;MAPRE1;ESPL1;SGO1;CENPK;CENPQ;WDR62;CENPL;SPC25;GPSM2;MAD2L1;INCENP;NUP43;PPP1CC;DSN1;XPO1;CENPU;KIF2A;SPDL1;SKA2;NUSAP1;SPC24;KNL1;CENPH;DYNC1LI1;KNTC1;SEH1L;CENPE;TTK;KIF18A;TUBG1;CDCA8;PLK1;CENPF;KIF11;NDC80;BUB1B;BUB1;KIF2C;KIF4A;ERCC6L,BCCIP;RPS27;AHCTF1;AURKB;EML4;ZW10;TBCE;BIRC5;CCNB1;MIS12;CLASP2;CENPI;DLGAP5;NUP37;NUP85;CENPM;BUB3;NUP107;ZWINT;CENPA;DYNC1I2;CKAP5;RANBP2;PCNT;NUP133;CENPN;MAPRE1;ESPL1;SGO1;CENPK;CENPQ;WDR62;CENPL;SPC25;GPSM2;MAD2L1;INCENP;NUP43;PPP1CC;DSN1;XPO1;CENPU;KIF2A;SPDL1;SKA2;NUSAP1;SPC24;KNL1;CENPH;DYNC1LI1;KNTC1;SEH1L;CENPE;TTK;KIF18A;TUBG1;CDCA8;PLK1;CENPF;KIF11;NDC80;BUB1B;BUB1;KIF2C;KIF4A;ERCC6L
mitotic spindle organization (GO:0007052),-0.6157464570203397,-2.31130566692211,0.0,0.0,157,145,LSM14A;SEC13;MAP4;GOLGA2;SUN2;B9D2;TUBG2;PAFAH1B1;NEK9;MISP;RCC1;CLIP1;MECP2;DCTN2;MAD1L1;PTPA;NDE1;TAOK1;DYNLL1;CENPT;CCDC61;NUDC;ENST00000631021.3;MAP9;CENPS;PMF1;DYNLL2;AAAS;ITGB3BP;NDEL1;CLASP1;RANGAP1;PLK2;KIF3B;NSL1;PIBF1;NUP160;CENPO;KIF23;KIFC2;STMN1;SKA1;INTS13;CENPP;SPICE1;ZNF207;STIL;WRAP73;DYNC1LI2;EFHC1;AURKA;DYNC1H1;RMDN1;STAG2;NUF2;TNKS;NUP98;SPAST;RAN;KPNB1;ZWILCH;FLNA;CHEK2;NEK6;ABRAXAS2;SGO2;CEP192;SBDS;DCTN6;RAB11A;CDC20;VCP;BCCIP;RPS27;AHCTF1;AURKB;EML4;ZW10;MZT1;TBCE;RHOA;BIRC5;CCNB1;MIS12;CLASP2;CENPI;DLGAP5;NUP37;NUP85;CENPM;BUB3;NUP107;SMC3;ZWINT;OFD1;CENPA;DYNC1I2;CKAP5;RANBP2;PCNT;NUP133;CENPN;MAPRE1;SGO1;CENPK;CENPQ;WDR62;CENPL;SPC25;GPSM2;KIFC1;MAD2L1;STAG1;INCENP;NUP43;PPP1CC;DSN1;XPO1;CENPU;KIF2A;SPDL1;SKA2;SPC24;PRC1;SMC1A;KNL1;CENPH;DYNC1LI1;KNTC1;SEH1L;CENPE;TTK;KIF18A;TUBG1;CDCA8;PLK1;CENPF;KIF11;NDC80;BUB1B;BUB1;KIF2C;KIF4A;TPX2;ERCC6L,BCCIP;RPS27;AHCTF1;AURKB;EML4;ZW10;MZT1;TBCE;RHOA;BIRC5;CCNB1;MIS12;CLASP2;CENPI;DLGAP5;NUP37;NUP85;CENPM;BUB3;NUP107;SMC3;ZWINT;OFD1;CENPA;DYNC1I2;CKAP5;RANBP2;PCNT;NUP133;CENPN;MAPRE1;SGO1;CENPK;CENPQ;WDR62;CENPL;SPC25;GPSM2;KIFC1;MAD2L1;STAG1;INCENP;NUP43;PPP1CC;DSN1;XPO1;CENPU;KIF2A;SPDL1;SKA2;SPC24;PRC1;SMC1A;KNL1;CENPH;DYNC1LI1;KNTC1;SEH1L;CENPE;TTK;KIF18A;TUBG1;CDCA8;PLK1;CENPF;KIF11;NDC80;BUB1B;BUB1;KIF2C;KIF4A;TPX2;ERCC6L
nucleotide biosynthetic process (GO:0009165),-0.7701840385702039,-2.277741204829726,0.0,0.0,18,16,PRPS2;NMNAT2;PRPS1;PRPSAP1;RRM2;MTHFD1;ADSL;NMNAT1;PPAT;RRM2B;PRPSAP2;PNP;GART;HPRT1;ME1;RRM1,PPAT;RRM2B;PRPSAP2;PNP;GART;HPRT1;ME1;RRM1
regulation of hematopoietic stem cell differentiation (GO:1902036),-0.5447193634759255,-2.124326537124201,0.0,0.002497216223241247,71,61,GATA2;PSMB5;PSMB10;LDB1;PSMD2;TCF12;FOXC1;PSMD4;PSMA6;PSMF1;PSMC5;PSMD3;PSME3;PSMB7;ENST00000429645.6;PSMD9;PSMA2;YAP1;PSMC1;PSMB9;PSMB1;CBFB;PSMB4;PSME2;YTHDF2;TCF3;ITCH;PSMD8;PSMB6;SETD1A;PSMC2;PSMA7;GATA3;PSMD13;ABL1;PSMD12;METTL3;PSMC3;PSME1;EIF2AK2;PSMB3;RUNX1;PSMD10;PSMA1;PSMC6;PUS7;PSMC4;PSMD7;KMT2A;PSME4;PSMA3;PSMD11;PSMA5;PSMD1;PSMD5;N4BP2L2;PSMB2;PSMD6;PSMD14;PSMA4;PRKDC,PSMC3;PSME1;EIF2AK2;PSMB3;RUNX1;PSMD10;PSMA1;PSMC6;PUS7;PSMC4;PSMD7;KMT2A;PSME4;PSMA3;PSMD11;PSMA5;PSMD1;PSMD5;N4BP2L2;PSMB2;PSMD6;PSMD14;PSMA4;PRKDC
protein sumoylation (GO:0016925),-0.6393486303942183,-2.1315850934529283,0.0,0.002653292237193825,55,47,PIAS4;SAE1;TRIM28;UBE2I;TRPM4;ZNF451;RAE1;PIAS3;STX1A;AAAS;SUMO2;ZBED1;RANGAP1;NUP160;TOPORS;POM121;NUP54;NUP98;PIAS1;SUMO3;SUMO1;NUP155;NUP88;NUP93;NUP214;NUP37;NUP85;NUP107;UBA2;NSMCE2;RANBP2;TPR;NUP133;NUP35;NUP58;POM121C;IFIH1;NUP43;NUP210;KIAA1586;NUP205;NUP153;NUP62;SEH1L;NUP50;NUP188;NDC1,NUP88;NUP93;NUP214;NUP37;NUP85;NUP107;UBA2;NSMCE2;RANBP2;TPR;NUP133;NUP35;NUP58;POM121C;IFIH1;NUP43;NUP210;KIAA1586;NUP205;NUP153;NUP62;SEH1L;NUP50;NUP188;NDC1
DNA-dependent DNA replication (GO:0006261),-0.5973183175957757,-2.1428190289753384,0.022727272727272728,0.00283017838634008,129,123,CDC34;RPAIN;PSMB5;PURA;SSBP1;PSMB10;POLG2;TWNK;UBB;UBC;WRNIP1;SIRT7;POLG;PSMD2;POLD4;LRWD1;SRPK2;REV3L;PSMD4;PSMA6;PSMF1;POLE4;PSMC5;MCM4;BLM;PRIMPOL;PSMD3;PSME3;PSMB7;ENST00000429645.6;TEFM;RFC2;PSMD9;PSMA2;ORC5;PSMC1;HMGA1;PSMB9;PSMB1;PSMB4;PSME2;UBA52;RAD51;PSMD8;GINS4;PSMB6;RECQL5;PSMC2;DDX23;PSMA7;POLB;POLE3;POLD2;PSMD13;BAZ1A;CDT1;PSMD12;DBF4;RPA1;MCM8;ORC4;CDK2AP1;RECQL4;PSMC3;PSME1;CDC45;ORC2;POLD1;PSMB3;PSMD10;PSMA1;RFC4;PSMC6;MGME1;MCM7;POLA1;RPS27A;CDC7;PSMC4;PNKP;PSMD7;TOPBP1;DDX21;PSME4;PRIM2;PSMA3;RFC1;ORC6;PSMD11;RPA2;PSMA5;POLD3;DNA2;PSMD1;ORC3;RPA3;MCMBP;NOC3L;GMNN;POLA2;PSMD5;PRIM1;MCM10;PSMB2;PSMD6;GINS3;RFC5;PSMD14;POLE2;RFC3;RECQL;MCM5;MCM3;MCM2;POLE;WDHD1;GINS1;GINS2;PSMA4;MCM6;CDC6;ORC1;CDK2,ORC2;POLD1;PSMB3;PSMD10;PSMA1;RFC4;PSMC6;MGME1;MCM7;POLA1;RPS27A;CDC7;PSMC4;PNKP;PSMD7;TOPBP1;DDX21;PSME4;PRIM2;PSMA3;RFC1;ORC6;PSMD11;RPA2;PSMA5;POLD3;DNA2;PSMD1;ORC3;RPA3;MCMBP;NOC3L;GMNN;POLA2;PSMD5;PRIM1;MCM10;PSMB2;PSMD6;GINS3;RFC5;PSMD14;POLE2;RFC3;RECQL;MCM5;MCM3;MCM2;POLE;WDHD1;GINS1;GINS2;PSMA4;MCM6;CDC6;ORC1;CDK2
protein-DNA complex assembly (GO:0065004),-0.5644029233904384,-2.150989643410007,0.0,0.0030323339853643716,143,108,GTF2H5;XPC;PSMB5;BRD2;PSMB10;UBB;UBC;PSMD2;ERCC2;ATRX;CDK7;PSMD4;XPA;PSMA6;CHD1L;PSMF1;ERCC3;PSMC5;MCM4;GTF2H4;PSMD3;PSME3;PSMB7;HMGB2;ENST00000429645.6;PSMD9;PSMA2;TCF4;ORC5;PSMC1;PSMB9;PSMB1;PSMB4;PSME2;UBA52;RAD51;PSMD8;GTF2H3;DAXX;PSMB6;SOX9;NAA60;SART3;PSMC2;RSF1;GTF2H1;CUL4A;CCNH;SPTY2D1;PSMA7;PSMD13;CENPV;RBX1;CDT1;PSMD12;DDB1;DMC1;RPA1;MCM8;CUL4B;ORC4;PSMC3;PSME1;CETN2;ORC2;PSMB3;PSMD10;PSMA1;PSMC6;MCM7;ASF1A;RPS27A;GTF2H2;PSMC4;MNAT1;PSMD7;DDB2;PSME4;PSMA3;ANP32B;ORC6;PSMD11;RPA2;PSMA5;RAD23B;GRWD1;NPM1;ERCC5;PSMD1;CHAF1A;ORC3;RPA3;GMNN;PARP1;CHAF1B;PSMD5;PSMB2;PSMD6;PSMD14;MCM5;MCM3;SMARCA5;MCM2;NAP1L1;PSMA4;MCM6;CDC6;ORC1,CETN2;ORC2;PSMB3;PSMD10;PSMA1;PSMC6;MCM7;ASF1A;RPS27A;GTF2H2;PSMC4;MNAT1;PSMD7;DDB2;PSME4;PSMA3;ANP32B;ORC6;PSMD11;RPA2;PSMA5;RAD23B;GRWD1;NPM1;ERCC5;PSMD1;CHAF1A;ORC3;RPA3;GMNN;PARP1;CHAF1B;PSMD5;PSMB2;PSMD6;PSMD14;MCM5;MCM3;SMARCA5;MCM2;NAP1L1;PSMA4;MCM6;CDC6;ORC1
regulation of cell cycle G2/M phase transition (GO:1902749),-0.5954615599657446,-2.156200881197401,0.0,0.003265590445777015,85,76,DCTN1;CEP164;PAFAH1B1;CEP131;PCM1;NINL;CEP70;DCTN2;CDK5RAP2;TUBA1A;NDE1;DYNLL1;SSNA1;PRKACA;HAUS3;HAUS4;ALMS1;CEP76;CLASP1;CEP63;ODF2;CSNK1D;CEP41;DCTN3;CENPJ;PPP2R1A;TP53;HAUS1;ACTR1A;YWHAG;AURKA;AKAP9;ATF5;DYNC1H1;SDCCAG8;HMMR;CEP57;SFI1;CEP192;CCP110;CEP78;CEP250;CEP290;CETN2;HAUS5;HAUS8;KIF14;CEP72;CEP152;NEDD1;TUBA4A;OFD1;TUBB4B;DYNC1I2;CKAP5;PCNT;HAUS2;MAPRE1;CSNK1E;NPM1;CDK1;HAUS6;ATAD5;CNTRL;PLK4;GTSE1;NEK2;HAUS7;HSP90AA1;YWHAE;TUBB;TUBG1;PLK1;CENPF;CDK2;TPX2,HAUS8;KIF14;CEP72;CEP152;NEDD1;TUBA4A;OFD1;TUBB4B;DYNC1I2;CKAP5;PCNT;HAUS2;MAPRE1;CSNK1E;NPM1;CDK1;HAUS6;ATAD5;CNTRL;PLK4;GTSE1;NEK2;HAUS7;HSP90AA1;YWHAE;TUBB;TUBG1;PLK1;CENPF;CDK2;TPX2
negative regulation of mitotic metaphase/anaphase transition (GO:0045841),-0.7706264058700157,-2.1562593053120045,0.0,0.0035377229829251,22,21,IK;MAD1L1;KLHL22;APC;ATM;ZNF207;MAD2L2;CDC20;ZW10;BUB3;ZWINT;TPR;MAD2L1;FBXO5;KNTC1;TTK;PLK1;CENPF;TRIP13;BUB1B;BUB1,BUB3;ZWINT;TPR;MAD2L1;FBXO5;KNTC1;TTK;PLK1;CENPF;TRIP13;BUB1B;BUB1
mitotic sister chromatid segregation (GO:0000070),-0.6507739000740812,-2.158822898073303,0.0,0.003859334163191018,102,93,CUL3;CHMP1B;EML3;TUBG2;NAA50;BOD1;CHMP6;CSNK2A2;DCTN2;POGZ;CHMP1A;AKAP8L;SMC4;ENST00000643482.1;PINX1;NUDC;KLHL22;CHMP4B;KMT5A;CHMP3;VPS4A;NSL1;PIBF1;KIF23;CSNK2A1;CHMP7;SET;ZNF207;PHF13;WRAP73;CHMP5;BECN1;KNSTRN;CHMP2A;DIS3L2;RAN;SPAG5;KPNB1;SGO2;RRS1;NIPBL;RAB11A;PHF8;INO80;HASPIN;CHMP4C;EML4;CDC23;ZW10;RB1;CCNB1;MIS12;KIF14;DLGAP5;PDS5B;PDCD6IP;ZWINT;VPS4B;TENT4A;ESPL1;SMC2;SGO1;CENPK;PSRC1;NCAPH2;CDCA5;KIFC1;CDK1;NCAPH;DSN1;NCAPG2;PDS5A;SPDL1;CHMP2B;KIF18B;KIF22;NUSAP1;NCAPG;NCAPD3;PRC1;SMC1A;NUP62;SEH1L;CENPE;KIF18A;TUBG1;CDCA8;PLK1;NCAPD2;RAD21;NDC80;CEP55;KIF2C,PHF8;INO80;HASPIN;CHMP4C;EML4;CDC23;ZW10;RB1;CCNB1;MIS12;KIF14;DLGAP5;PDS5B;PDCD6IP;ZWINT;VPS4B;TENT4A;ESPL1;SMC2;SGO1;CENPK;PSRC1;NCAPH2;CDCA5;KIFC1;CDK1;NCAPH;DSN1;NCAPG2;PDS5A;SPDL1;CHMP2B;KIF18B;KIF22;NUSAP1;NCAPG;NCAPD3;PRC1;SMC1A;NUP62;SEH1L;CENPE;KIF18A;TUBG1;CDCA8;PLK1;NCAPD2;RAD21;NDC80;CEP55;KIF2C
