Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Interactions between immune cells and microRNAs in tumor microenvironment WP4559,-0.7790596905551667,-2.152255117479008,0.0,0.007366920152091254,28,28,IL4;STAT6;PIAS3;STAT3;TRAF6;TGFB1;NFKB2;TGFB2;TGFBR2;TGFB3;IRAK4;IL2RG;CCL5;CTLA4;TLR8;NFKB1;PDCD1;IL2RB;SOCS1;IL4R;CD274;CD80;IL2RA;CXCL10;CCL2;TLR4;TLR7;CD86,IL2RG;CCL5;CTLA4;TLR8;NFKB1;PDCD1;IL2RB;SOCS1;IL4R;CD274;CD80;IL2RA;CXCL10;CCL2;TLR4;TLR7;CD86
Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877,-0.8172835393066693,-2.110540222011472,0.0,0.00841933731667572,18,18,UBE2V1;TLR9;TRAF6;JUN;UBE2N;TLR5;IRAK1;MYD88;TLR10;TLR8;NFKB1;TLR6;TIFA;TLR2;IL1A;TLR1;TLR4;TLR7,MYD88;TLR10;TLR8;NFKB1;TLR6;TIFA;TLR2;IL1A;TLR1;TLR4;TLR7
Netrin-UNC5B signaling pathway WP4747,-0.5502037789747364,-2.059847575872183,0.0,0.008840304182509506,52,50,PTK2;NEO1;MAPK3;PPP2R1B;MAPK1;ARHGEF12;SRC;PPP1CA;FYN;ALPL;PTPN11;AKT1;DAPK1;JUN;RGMA;NTN1;SELE;CDH5;PTPA;TP53;NTN3;CTGF;PLEKHH1;RAF1;RLF;KDR;ROBO4;PIK3CA;ICAM1;PTK2B;MAPK14;MAP2K2;CASP3;YAP1;COL1A1;DCSTAMP;PRKCA;RHOA;UNC5B;RAC1;INPP5D;NTN4;VCAM1;MAP2K1;AGAP2;ITGB4;TNF;IL1A;IL10;CCL2,MAPK14;MAP2K2;CASP3;YAP1;COL1A1;DCSTAMP;PRKCA;RHOA;UNC5B;RAC1;INPP5D;NTN4;VCAM1;MAP2K1;AGAP2;ITGB4;TNF;IL1A;IL10;CCL2
Allograft Rejection WP2328,-0.6496321422385353,-2.0784023032812025,0.0,0.009208650190114069,89,89,BHMT2;IL4;CASP9;C6;PRKCZ;C7;PECR;C8B;CD55;C8A;CCL21;C4B;ABCB1;C5;LRRK2;C4A;IL2;PDGFRA;CCL19;HARS;IL13;MICA;IL5;C3;IL12A;IL22;HLA-G;TGFB1;CASP7;GABPA;AGTR1;HLA-DRB5;C9;IL12B;COL5A1;CASP8;CD40LG;GDNF;CXCL13;CXCL12;IL17A;CASP3;VEGFA;CSNK2A2;CXCL8;GZMB;PRF1;CD40;HLA-F;GNLY;HLA-DMA;IL21;HLA-DOB;HLA-B;CXCR5;HLA-C;CD28;FAS;HLA-DRB1;IFNG;HLA-DQA2;CTLA4;C2;STAT1;HLA-A;HLA-E;HLA-DPB1;HLA-DQB1;HLA-DOA;HLA-DMB;FOXP3;FASLG;CXCL9;HLA-DQA1;HLA-DRA;HLA-DPA1;CXCL11;TUBA1B;TNF;VIM;CD80;IL1B;IL1A;IL2RA;IL10;C1QC;C1QA;C1QB;CD86,CSNK2A2;CXCL8;GZMB;PRF1;CD40;HLA-F;GNLY;HLA-DMA;IL21;HLA-DOB;HLA-B;CXCR5;HLA-C;CD28;FAS;HLA-DRB1;IFNG;HLA-DQA2;CTLA4;C2;STAT1;HLA-A;HLA-E;HLA-DPB1;HLA-DQB1;HLA-DOA;HLA-DMB;FOXP3;FASLG;CXCL9;HLA-DQA1;HLA-DRA;HLA-DPA1;CXCL11;TUBA1B;TNF;VIM;CD80;IL1B;IL1A;IL2RA;IL10;C1QC;C1QA;C1QB;CD86
Ebola Virus Pathway on Host WP4217,-0.5589488108113632,-2.052891056521965,0.0,0.009376080193570687,129,129,RHOB;IL4;TIMD4;HAVCR1;CAV3;VAV2;SCIN;TSG101;VPS33A;CLTCL1;MAPK3;IGF1R;DAB2IP;MAPK1;CREBBP;TYRO3;VPS16;VPS39;TPCN2;FOLR1;IRF3;AKT1;VPS4A;CLTC;CLEC4M;RAB9A;C1QBP;PIK3R1;MBL2;EIF2AK2;FLNB;VPS11;ICAM2;CDC42;EP300;KPNA1;RFC1;CLEC4G;VPS41;REL;PIK3R3;EGFR;PRKRA;ACTG1;RELA;CLTB;HLA-G;FLNC;ADAM17;GAS6;TBK1;NFKB2;PIK3CA;PIK3R2;NPC2;MFGE8;IKBKE;RAB7A;CLTA;IRF7;HLA-DRB5;GSN;ITGB1;BST2;CLEC6A;ICAM3;RASA2;TOP1;PIK3CB;MERTK;ITGA2;ACTN4;CAV2;NEDD4;EPS15;RELB;DDX58;PIK3CD;ITGA3;ITGA6;VPS18;EIF2S1;CTSL;CAV1;HLA-F;CD209;HLA-DMA;SOCS3;PAK1;RHOA;HLA-DOB;ACTB;RHOC;HLA-B;CLEC10A;RAB5A;HLA-C;RAC1;HLA-DQB2;HLA-DRB1;FLNA;ACTN1;ITGA1;HLA-DQA2;ITGAV;ITGA5;STAT1;HLA-A;HLA-E;HLA-DPB1;ASGR1;HLA-DQB1;NFKB1;HLA-DOA;HLA-DMB;ITGB3;HLA-DQA1;IQGAP1;CD300A;HLA-DRA;HLA-DPA1;TFAP2A;NPC1;CTSB;AXL;TLR4;TIAM1;ITGA4;HAVCR2,PIK3CB;MERTK;ITGA2;ACTN4;CAV2;NEDD4;EPS15;RELB;DDX58;PIK3CD;ITGA3;ITGA6;VPS18;EIF2S1;CTSL;CAV1;HLA-F;CD209;HLA-DMA;SOCS3;PAK1;RHOA;HLA-DOB;ACTB;RHOC;HLA-B;CLEC10A;RAB5A;HLA-C;RAC1;HLA-DQB2;HLA-DRB1;FLNA;ACTN1;ITGA1;HLA-DQA2;ITGAV;ITGA5;STAT1;HLA-A;HLA-E;HLA-DPB1;ASGR1;HLA-DQB1;NFKB1;HLA-DOA;HLA-DMB;ITGB3;HLA-DQA1;IQGAP1;CD300A;HLA-DRA;HLA-DPA1;TFAP2A;NPC1;CTSB;AXL;TLR4;TIAM1;ITGA4;HAVCR2
Cytokines and Inflammatory Response WP530,-0.6862448079306939,-2.068242770531901,0.0,0.00982256020278834,26,26,IL4;PDGFA;IFNB1;CSF3;IL2;IL3;IL13;IL5;IL11;TGFB1;IL12B;IL6;CXCL2;IL15;IL7;CXCL1;HLA-DRB1;IFNG;CSF2;CSF1;HLA-DRA;TNF;IL1B;CD4;IL1A;IL10,IL15;IL7;CXCL1;HLA-DRB1;IFNG;CSF2;CSF1;HLA-DRA;TNF;IL1B;CD4;IL1A;IL10
Toll-like Receptor Signaling Pathway WP75,-0.5676343037460088,-2.1125543351104943,0.0,0.00982256020278834,103,93,MAPK9;MAPK8;MAPK10;MAP2K6;TAB3;MAPK3;MAPK1;NFKBIA;IFNB1;IFNA21;IFNAR2;MAP2K4;IRF3;AKT1;TLR9;IKBKB;FOS;TRAF6;TAB1;JUN;TIRAP;PIK3R1;CHUK;RIPK1;IFNA1;MAP3K7;TICAM1;IFNAR1;MAP2K3;AKT3;IFNA5;TLR5;PIK3R3;IL12A;LBP;FADD;RELA;MAP2K7;TBK1;PIK3CA;PIK3R2;TLR3;IKBKE;IRF7;IRAK1;IL12B;AKT2;IL6;MAP3K8;MAPK12;NFKBIB;TOLLIP;MAPK11;TAB2;CASP8;IRF5;IKBKG;PIK3CB;MAPK14;MAP2K2;IRAK4;PIK3CD;CXCL8;MAPK13;CD40;MYD88;PIK3R5;TRAF3;RAC1;CCL5;PIK3CG;STAT1;TLR8;NFKB1;MAP2K1;CXCL9;TLR6;SPP1;CXCL11;LY96;TNF;CD80;IL1B;TLR2;CCL4;CCL3;CXCL10;CD14;TLR1;TLR4;TLR7;CD86;TICAM2,IL12B;AKT2;IL6;MAP3K8;MAPK12;NFKBIB;TOLLIP;MAPK11;TAB2;CASP8;IRF5;IKBKG;PIK3CB;MAPK14;MAP2K2;IRAK4;PIK3CD;CXCL8;MAPK13;CD40;MYD88;PIK3R5;TRAF3;RAC1;CCL5;PIK3CG;STAT1;TLR8;NFKB1;MAP2K1;CXCL9;TLR6;SPP1;CXCL11;LY96;TNF;CD80;IL1B;TLR2;CCL4;CCL3;CXCL10;CD14;TLR1;TLR4;TLR7;CD86;TICAM2
Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433,-0.5997854176439193,-2.11555784560521,0.0,0.011787072243346007,41,41,CASP9;DUOX2;SUGT1;NFKBIA;AAMP;NLRP2;IKBKB;CHUK;HSP90AA1;NDUFA13;NOD1;RELA;NLRP7;COPS6;NLRP4;CASP7;PRDM1;CASP8;MEFV;NLRP10;IKBKG;ERBIN;XIAP;NLRP12;NOD2;PYCARD;RIPK2;NLRP1;AIM2;CARD9;NLRP3;RAC1;ACAP1;NLRC4;IL18;CARD8;CARD6;IL1B;CASP1;CASP5;NAIP,PRDM1;CASP8;MEFV;NLRP10;IKBKG;ERBIN;XIAP;NLRP12;NOD2;PYCARD;RIPK2;NLRP1;AIM2;CARD9;NLRP3;RAC1;ACAP1;NLRC4;IL18;CARD8;CARD6;IL1B;CASP1;CASP5;NAIP
T-cell receptor (TCR) signaling pathway WP69,-0.6092712691647315,-2.0050120093606436,0.0,0.013600467973091546,90,88,SHC1;MAPK9;MAPK8;MAPK3;MAPK1;PDPK1;NFKBIA;FYN;PLCG1;PTPN11;AKT1;HRAS;SKAP1;IKBKB;FOS;TRAF6;CRKL;JUN;PIK3R1;PRKCD;CHUK;MAP3K7;PRKCQ;CDC42;SOS1;OPRM1;CARD11;CRK;ITPR1;REL;RAF1;RELA;NFATC1;DBNL;ATF2;TGFB1;PIK3R2;CREB1;CBLB;IL6;MAP3K8;PTK2B;VAV3;ITK;IRF4;IKBKG;MAPK14;BCL10;IL17A;MAP2K2;ZAP70;GAB2;CD83;CD3D;RIPK2;MAP3K14;LAT;GATA3;CD247;CD8A;PAK1;NCK1;GRB2;MAP4K1;GRAP2;CBL;NFATC2;CD3E;CD28;FAS;PSTPIP1;LCK;CD3G;VAV1;NFKB1;WAS;MAP2K1;MALT1;SH2B3;VIM;TNFRSF9;IL1B;CD4;IL1A;ICOS;CCR5;LCP2;IL15RA,CREB1;CBLB;IL6;MAP3K8;PTK2B;VAV3;ITK;IRF4;IKBKG;MAPK14;BCL10;IL17A;MAP2K2;ZAP70;GAB2;CD83;CD3D;RIPK2;MAP3K14;LAT;GATA3;CD247;CD8A;PAK1;NCK1;GRB2;MAP4K1;GRAP2;CBL;NFATC2;CD3E;CD28;FAS;PSTPIP1;LCK;CD3G;VAV1;NFKB1;WAS;MAP2K1;MALT1;SH2B3;VIM;TNFRSF9;IL1B;CD4;IL1A;ICOS;CCR5;LCP2;IL15RA
Oxidative Damage WP3941,-0.6047125503230256,-2.170457116970288,0.0,0.014733840304182509,40,40,CASP9;MAPK10;TRAF2;CDKN1C;BAD;MAP2K4;CR2;BCL2;TRAF6;C4B;C5;BAG4;TDP2;CDC42;CDKN1B;MAP3K1;MAP3K9;TNK2;CYCS;PCNA;BAK1;CASP3;CDKN1A;MAPK13;APAF1;C1R;C5AR1;GADD45A;C1S;TRAF1;TRAF3;TNFRSF1B;C2;NFKB1;TNF;NFKBIE;C1QC;C1QA;C3AR1;C1QB,CASP3;CDKN1A;MAPK13;APAF1;C1R;C5AR1;GADD45A;C1S;TRAF1;TRAF3;TNFRSF1B;C2;NFKB1;TNF;NFKBIE;C1QC;C1QA;C3AR1;C1QB
