Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),0.6043295353464545,2.467748830049257,0.0,0.0,71,50,BAIAP2;PTK2;VAV1;MYO1C;MAPK3;NCK1;LIMK1;PAK1;ARPC3;PLD2;ELMO2;PLA2G6;ARPC2;CRK;ACTB;RAC1;ARPC1B;ACTG1;MYO10;SYK;LYN;CDC42;ABI1;ABL1;PIK3CA;NCKIPSD;PLCG1;HSP90AA1;ARPC4;GRB2;SRC;ACTR3;CYFIP1;WASF2;ACTR2;VAV2;WIPF2;MAPK1;FYN;YES1;ARPC5;NCKAP1;PRKCD;BRK1;ARPC1A;PIK3CB;DOCK1;PIK3R2;WASL;HSP90AB1,BAIAP2;PTK2;VAV1;MYO1C;MAPK3;NCK1;LIMK1;PAK1;ARPC3;PLD2;ELMO2;PLA2G6;ARPC2;CRK;ACTB;RAC1;ARPC1B;ACTG1;MYO10
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.5637599046325069,2.524259226859362,0.0,0.0,90,88,RPS21;SEC61A1;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;SRP14;RPLP0;RPS7;RPS19;RPL3;RPL27A;ZFAND2B;RPL30;RPL10;RPLP1;RPL10A;SRP72;SRP19;RPL17;RPL31;SRP9;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPS13;RPSA;RPS11;RPL18;RPS3;RPS9;RPL5;SEC63;RPS8;RPL7;SEC61B;RPL24;RPS23;RPL7A;RPL12;RPL34;RPL23A;RPS29;RPL6;RPS27A;RPS25;SRP68;RPS15;RPL41;RPL19;RPLP2;RPS28;RPL22;RPL4;SRP54;RPL9;RPS4X;RPS2;RPL23;RPL14;RPS18;RPS12;RPL39;RPL37;RPL35;RPL36A;RPS5;RPS10;RPL11;RPL27;RPL21;RPS26;RPL18A;RPS3A;RPS17;RPL26;RPL36,RPS21;SEC61A1;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;SRP14;RPLP0;RPS7;RPS19;RPL3;RPL27A;ZFAND2B;RPL30;RPL10;RPLP1;RPL10A;SRP72;SRP19;RPL17;RPL31;SRP9;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPS13;RPSA;RPS11;RPL18;RPS3;RPS9;RPL5;SEC63;RPS8
cotranslational protein targeting to membrane (GO:0006613),0.5360001331731403,2.4461905576718985,0.0,0.0,94,93,RPS21;SEC61A1;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;SRP14;RPLP0;RPS7;RPS19;RPL3;RPL27A;TRAM1;RPL30;RPL10;RPLP1;RPL10A;SRP72;SRP19;RPL17;RPL31;SRP9;RPL35A;RPS6;RPL13A;RPL28;SSR1;UBA52;RPS16;RPS13;RPSA;RPS11;RPL18;RPS3;RPS9;RPL5;SEC63;RPS8;RPL7;RPL24;RPS23;SEC62;RPL7A;RPL12;RPL34;RPL23A;RPS29;RPL6;RPS27A;RPS25;SRP68;RPS15;RPL41;RPL19;RPLP2;RPS28;RPL22;RPL4;SRP54;RPL9;RPS4X;SIL1;RPS2;RPL23;RPL14;RPS18;RPS12;RPL39;RPL37;RPL35;RPL36A;RPS5;RPS10;RPL11;RPL27;RPL21;RPS26;RPL18A;SRPRA;RPS3A;RPS17;RPL26;RPL36;ARL6IP1;SSR2,RPS21;SEC61A1;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;SRP14;RPLP0;RPS7;RPS19;RPL3;RPL27A;TRAM1;RPL30;RPL10;RPLP1;RPL10A;SRP72;SRP19;RPL17;RPL31;SRP9;RPL35A;RPS6;RPL13A;RPL28;SSR1;UBA52;RPS16;RPS13;RPSA;RPS11;RPL18
cytoplasmic translation (GO:0002181),0.5316803070173669,2.48211417968301,0.0,0.0,93,92,RPS21;RPL32;RPS27;EIF4A2;RPL29;RPL13;TMA7;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;EIF4A1;RPS15A;RPL8;EIF3M;RPLP0;RPS7;RPS19;RPL3;RPL27A;RPL30;RPL10;RPLP1;RPL10A;RPL17;RPL31;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPL26L1;RPS13;RPSA;RPL22L1;RPS11;RPL18;RPS3;RPS9;RPL5;RPS8;RPL7;RPL24;RPS23;RPL7A;RPL12;RPL34;RPL23A;RPS29;RPL6;RPS27A;RPS25;RPS15;RPL41;RPL19;RPS28;RPL22;RPL4;FTSJ1;RPL9;RPS4X;RPS2;RPL23;DRG1;RPL14;RPS18;RPS12;RPL39;RPL37;RPL35;RPL36A;EIF3I;ETF1;RPS5;RPS10;RPL11;RPL27;RPL21;RPS26;GSPT1;DRG2;RPL18A;RPS3A;RWDD1;RPS17;RPL26;RPL36;EIF2B3;ZC3H15,RPS21;RPL32;RPS27;EIF4A2;RPL29;RPL13;TMA7;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;EIF4A1;RPS15A;RPL8;EIF3M;RPLP0;RPS7;RPS19;RPL3;RPL27A;RPL30;RPL10;RPLP1;RPL10A;RPL17;RPL31;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPL26L1;RPS13;RPSA;RPL22L1;RPS11;RPL18
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),0.4332645472877414,2.1452443422463263,0.0,0.0012731516312725498,185,150,VAPA;TFG;DYNC1I2;STX5;USO1;COPE;COPA;TMED3;SEC31A;SPTAN1;CAPZB;TRAPPC2L;MCFD2;SEC23A;PROC;DYNC1H1;TRAPPC12;RAB1B;DCTN2;ACTR10;GOSR1;GOSR2;SEC16A;COPZ1;GOLGA2;CD59;DYNLL1;ARF4;DCTN6;KDELR3;GOLGB1;DCTN4;CAPZA2;USE1;BET1;TMED7;TBC1D20;VTI1B;SEC24B;CTSZ;GBF1;ARFGAP2;PDCD6;TMED10;FOLR1;COPG1;SPAST;BCAP31;ANK3;ERGIC1;COL7A1;COG5;VTI1A;MIA3;COG4;COPB2;ARCN1;DCTN3;SAR1A;SEC24D;RAB1A;TMED4;LMAN2;PEF1;CNIH4;CTAGE4;VAMP7;DCTN5;DYNC1LI2;TRAPPC6B;SCFD1;RAB2A;CAPZA1;SEC24C;ERGIC3;YKT6;CD55;ATL2;GORASP1;MPPE1;TMED5;KDELR2;LMAN2L;VAPB;NAPA;TRAPPC2;YIF1A;COG8;TMED2;TRAPPC3;TRAPPC1;CNIH1;CTSC;COG7;SEC22B;NRBP2;DCTN1;HYOU1;COG2;KDELR1;MIA2;CUL3;SPTBN1;TRAPPC5;SPTBN2;ARFGAP1;TMED9;VAMP4;TGFA;SEC24A;DYNLL2;ARFGAP3;SAR1B;RANGRF;TRAPPC11;TRAPPC4;YIF1B;COPB1;SEC13;NRBP1;PROZ;COG3;DYNC1LI1;GOPC;BET1L;RAB29;COPG2;TMED1;STX17;TRAPPC6A;ERGIC2;COG1;TMEM115;COG6;TRAPPC8;GOLT1A;TRAPPC2B;NSF;GAS6;TEX261;IER3IP1;ACTR1A;PREB;KLHL12;ATL3;BCAP29;LMAN1;ZW10;CNIH3;AREG,VAPA;TFG;DYNC1I2;STX5;USO1;COPE;COPA;TMED3;SEC31A;SPTAN1;CAPZB;TRAPPC2L;MCFD2;SEC23A;PROC;DYNC1H1;TRAPPC12;RAB1B;DCTN2;ACTR10;GOSR1;GOSR2;SEC16A;COPZ1;GOLGA2;CD59;DYNLL1;ARF4;DCTN6;KDELR3;GOLGB1;DCTN4;CAPZA2;USE1;BET1;TMED7;TBC1D20;VTI1B;SEC24B;CTSZ;GBF1;ARFGAP2;PDCD6;TMED10;FOLR1;COPG1;SPAST;BCAP31;ANK3;ERGIC1;COL7A1;COG5;VTI1A;MIA3;COG4;COPB2;ARCN1;DCTN3;SAR1A;SEC24D;RAB1A;TMED4;LMAN2;PEF1;CNIH4;CTAGE4;VAMP7;DCTN5;DYNC1LI2;TRAPPC6B
"regulation of mRNA splicing, via spliceosome (GO:0048024)",0.48275829200726483,2.1525471397970737,0.0,0.0013888926886609634,90,70,SAP18;FXR2;HNRNPK;SRPK2;RBM4;PCBP4;LARP7;HNRNPA1;DDX5;SON;PTBP1;TIA1;FMR1;SRSF4;RBM25;FXR1;U2AF2;SF1;SRPK1;THRAP3;RBM39;TRA2A;RBM5;SRSF10;RBMX;RBFOX2;RNPS1;PUF60;RBMXL1;DDX17;CELF1;NSRP1;SRSF6;SRSF3;MBNL1;HNRNPL;HNRNPU;NUP98;RBM7;CWC22;SNW1;CIRBP;SMU1;NCL;WTAP;SRSF9;RBM3;ZBTB7A;YTHDC1;JMJD6;RBM23;SRSF7;PRDX6;QKI;FAM172A;MBNL2;NCBP1;RBM8A;RBM15;DAZAP1;KHDRBS1;REST;TRA2B;METTL16;C1QBP;MAGOH;RBM15B;MBNL3;SFSWAP;SF3B4,SAP18;FXR2;HNRNPK;SRPK2;RBM4;PCBP4;LARP7;HNRNPA1;DDX5;SON;PTBP1;TIA1;FMR1;SRSF4;RBM25;FXR1;U2AF2;SF1;SRPK1;THRAP3;RBM39;TRA2A;RBM5;SRSF10;RBMX;RBFOX2;RNPS1;PUF60;RBMXL1
sterol biosynthetic process (GO:0016126),0.5988327459599395,2.154689678806907,0.0,0.0015277819575270596,38,31,HMGCR;HMGCS1;INSIG2;EBP;SQLE;ACAT2;PRKAG2;DHCR24;MVD;DHCR7;CYP51A1;CES1;SC5D;ACLY;MSMO1;LSS;FDFT1;ACAA2;INSIG1;FDPS;HSD17B7;NSDHL;IDI1;MVK;G6PD;LBR;TM7SF2;GGPS1;ARV1;PLPP6;PMVK,HMGCR;HMGCS1;INSIG2;EBP;SQLE;ACAT2;PRKAG2;DHCR24;MVD;DHCR7;CYP51A1;CES1;SC5D;ACLY;MSMO1;LSS;FDFT1;ACAA2;INSIG1;FDPS;HSD17B7;NSDHL;IDI1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.48494767676343314,2.175309933465671,0.0,0.0016975355083633998,113,110,RPS21;RPL32;RPS27;RPL29;RPL13;RPL37A;EIF4G1;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;RPLP0;RPS7;PABPC1;RPS19;RPL3;RPL27A;EIF4A3;SMG7;RPL30;RPL10;RPLP1;RPL10A;RPL17;RPL31;RPL35A;MAGOHB;NCBP2;RPS6;RPL13A;RPL28;SMG9;UBA52;RPS16;RPS13;RPSA;RNPS1;RPS11;RPL18;PYM1;RPS3;RPS9;EIF3E;RPL5;UPF3A;PPP2R1A;RPS8;SMG1;RPL7;RPL24;RPS23;RPL7A;CASC3;RPL12;RPL34;HELZ2;RPL23A;SMG5;PPP2R2A;RPS29;RPL6;RPS27A;RPS25;UPF1;RPS15;RPL41;RPL19;RPLP2;RPS28;RPL22;RPL4;RPL9;RPS4X;RPS2;RPL23;UPF3B;RPL14;RPS18;SMG8;RPS12;RPL39;RPL37;RPL35;RPL36A;PNRC2;ETF1;RPS5;PPP2CA;RPS10;RPL11;RPL27;NCBP1;RPL21;RPS26;RBM8A;GSPT1;UPF2;RPL18A;DCP1A;RPS3A;MAGOH;RPS17;RPL26;RPL36;DHX34;SMG6;CTIF,RPS21;RPL32;RPS27;RPL29;RPL13;RPL37A;EIF4G1;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;RPLP0;RPS7;PABPC1;RPS19;RPL3;RPL27A;EIF4A3;SMG7;RPL30;RPL10;RPLP1;RPL10A;RPL17;RPL31;RPL35A;MAGOHB;NCBP2;RPS6;RPL13A;RPL28;SMG9;UBA52;RPS16;RPS13;RPSA;RNPS1;RPS11;RPL18;PYM1;RPS3;RPS9;EIF3E;RPL5;UPF3A;PPP2R1A;RPS8;SMG1
proteolysis involved in cellular protein catabolic process (GO:0051603),0.5654253135643709,2.316956136055485,0.0,0.0019097274469088248,74,61,USP9X;PMAIP1;RHBDD1;LGMN;OMA1;CTSF;PSMA6;DDB1;NGLY1;RSPRY1;STUB1;UBE2W;FBXL17;VCP;PDCD6IP;CLPX;RNF41;UBB;OTUD7B;NEDD8;VPS4B;CASP8;CTSZ;BAG6;UBA52;CUL4B;CTSB;LONP1;HDAC6;CAPN2;CHFR;RPS27A;FBXO44;YME1L1;HM13;PRPF19;CLPP;ZRANB1;CTSC;UBC;ADAMTS12;ZER1;CTSH;TNFAIP3;MALT1;ISG15;CHMP4C;IDE;DDI2;VPS4A;CTSS;RNF123;ATE1;CTSL;MDM2;CTSV;SOCS6;CHMP4B;ATXN3;ZYG11B;NR1D1,USP9X;PMAIP1;RHBDD1;LGMN;OMA1;CTSF;PSMA6;DDB1;NGLY1;RSPRY1;STUB1;UBE2W;FBXL17;VCP;PDCD6IP;CLPX;RNF41;UBB;OTUD7B;NEDD8;VPS4B;CASP8;CTSZ;BAG6
protein targeting to ER (GO:0045047),0.5017791755313252,2.327960816872948,0.0,0.0021825456536100855,103,101,RPS21;SEC61A1;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;SRP14;RPLP0;RPS7;RPS19;RPL3;RPL27A;CHMP4A;ZFAND2B;RPL30;RPL10;RPLP1;RPL10A;SRP72;SRP19;RPL17;RPL31;SRP9;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPS13;RPSA;SEC61G;RPS11;RPL18;RPS3;RPS9;RPL5;SEC63;RPS8;RPL7;SRPRB;RPL24;RPS23;SEC62;ZFAND2A;RPL7A;RPL12;RPL34;RPL23A;RPS29;RPL6;RPS27A;RPS25;SPCS2;SRP68;RPS15;RPL41;RPL19;RPLP2;EDEM1;RPS28;RPL22;RPL4;SRP54;RPL9;RPS4X;RPS2;RPL23;RPL14;SGTB;RPS18;RPS12;RPL39;RPL37;RPL35;RPL36A;RPS5;RPS10;RPL11;RPL27;SPCS3;RPL21;RPS26;RPL18A;SPCS1;SRPRA;CHMP4B;RPS3A;RPS17;RPL26;RPL36;MAN1A1;SGTA,RPS21;SEC61A1;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;SRP14;RPLP0;RPS7;RPS19;RPL3;RPL27A;CHMP4A;ZFAND2B;RPL30;RPL10;RPLP1;RPL10A;SRP72;SRP19;RPL17;RPL31;SRP9;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPS13;RPSA;SEC61G;RPS11;RPL18
