Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
DNA Repair Pathways Full Network WP4946,-0.5148368985139082,-2.0641385175812217,0.0,0.002590880899505832,120,115,GTF2H5;FANCF;XPC;NEIL2;FAAP100;POLL;OGG1;CENPX;TERF2;DCLRE1C;RAD52;MUTYH;APEX1;NTHL1;POLD4;ERCC6;ERCC2;ERCC1;XRCC6;MLH1;CHEK1;REV3L;CDK7;XPA;ERCC3;MGMT;POLE4;WDR48;MSH3;CENPS;GTF2H4;RAD51C;RAD23A;RFC2;FANCB;REV1;XRCC5;ATM;RAD51;PMS2;FAAP24;GTF2H3;TDG;ERCC8;FANCG;XRCC1;GTF2H1;CUL4A;MPG;CCNH;ERCC4;POLB;POLE3;POLD2;FANCD2;RBX1;POLM;APEX2;NBN;FAN1;MSH6;DDB1;SMUG1;MRE11;RPA1;RAP1A;ATR;CUL4B;LIG4;LIG1;CETN2;RAD50;POLD1;RFC4;FANCC;FANCA;GTF2H2;MBD4;NHEJ1;MNAT1;PNKP;UNG;H2AFX;DDB2;XRCC4;FANCL;RFC1;PARP2;POLH;RPA2;RAD23B;POLD3;FANCE;ERCC5;RAD54B;RPA3;PARP1;FEN1;MSH2;BRIP1;RFC5;BRCA2;POLE2;LIG3;RFC3;PALB2;HMGB1;EXO1;POLE;NEIL3;BRCA1;PCNA;FANCI;PRKDC;USP1,FANCA;GTF2H2;MBD4;NHEJ1;MNAT1;PNKP;UNG;H2AFX;DDB2;XRCC4;FANCL;RFC1;PARP2;POLH;RPA2;RAD23B;POLD3;FANCE;ERCC5;RAD54B;RPA3;PARP1;FEN1;MSH2;BRIP1;RFC5;BRCA2;POLE2;LIG3;RFC3;PALB2;HMGB1;EXO1;POLE;NEIL3;BRCA1;PCNA;FANCI;PRKDC;USP1
Cell cycle WP179,-0.5716203483842358,-2.0724393794788325,0.0,0.0031090570794069985,120,107,GADD45A;CDKN2B;E2F5;TFDP2;CDKN2A;GADD45B;TFDP1;MYC;SMAD4;FZR1;ANAPC13;CDC25B;CDKN1C;MAD1L1;CHEK1;CDK7;CDKN1B;CDC16;MCM4;TGFB2;SMAD3;ZBTB17;CUL1;ORC5;CDKN1A;CDC14B;E2F4;SMAD2;ATM;HDAC1;CCNA2;RBL2;YWHAZ;ANAPC4;CCND1;TP53;YWHAG;SKP2;EP300;CCNH;ANAPC5;MAD2L2;STAG2;ABL1;RBX1;CDK4;ANAPC7;CHEK2;WEE1;DBF4;SFN;CCNE1;YWHAQ;ATR;ORC4;GSK3B;ANAPC10;MDM2;CDC20;CDC45;YWHAB;E2F3;ORC2;HDAC2;RBL1;CDC23;RB1;CCNB1;ANAPC2;MCM7;CDKN2C;CDC7;BUB3;SMC3;CDC25C;CDC27;SKP1;ESPL1;ORC6;PKMYT1;CDK6;CCNB2;CCNE2;CCND3;ORC3;CDK1;STAG1;PTTG1;YWHAH;MCM5;MCM3;MCM2;YWHAE;E2F1;SMC1A;PCNA;CDC25A;TTK;MCM6;PRKDC;CDC6;PLK1;ANAPC1;ORC1;CDK2;RAD21;BUB1,MDM2;CDC20;CDC45;YWHAB;E2F3;ORC2;HDAC2;RBL1;CDC23;RB1;CCNB1;ANAPC2;MCM7;CDKN2C;CDC7;BUB3;SMC3;CDC25C;CDC27;SKP1;ESPL1;ORC6;PKMYT1;CDK6;CCNB2;CCNE2;CCND3;ORC3;CDK1;STAG1;PTTG1;YWHAH;MCM5;MCM3;MCM2;YWHAE;E2F1;SMC1A;PCNA;CDC25A;TTK;MCM6;PRKDC;CDC6;PLK1;ANAPC1;ORC1;CDK2;RAD21;BUB1
DNA IR-damage and cellular response via ATR WP4016,-0.5974572420364642,-2.04333499344439,0.0,0.0038863213492587477,80,74,PML;RAD9A;TP53BP1;TRIM28;CEP164;UPF1;RAD52;IKBKG;SEM1;BRCC3;MLH1;PPM1D;CHEK1;SMARCAL1;XPA;CLK2;XRCC5;SMARCC2;ATM;UIMC1;RAD17;RAD51;CLSPN;DCLRE1A;TP53;HERC2;RECQL5;RAD1;POLB;FANCD2;NBN;SP1;EEF1E1;BCL6;CHEK2;MRE11;RPA1;ATR;MDM2;CDC45;HUS1;RAD50;TOP3A;RMI1;FANCA;CDC25C;TOPBP1;H2AFX;RBBP8;RPA2;UBE2D3;CDK1;PARP1;FEN1;MSH2;RFWD3;BRIP1;BRCA2;FOXM1;RECQL;PALB2;MDC1;EXO1;MCM2;E2F1;SMC1A;BRCA1;BARD1;PCNA;FANCI;PRKDC;PLK1;CDK2;USP1,MDM2;CDC45;HUS1;RAD50;TOP3A;RMI1;FANCA;CDC25C;TOPBP1;H2AFX;RBBP8;RPA2;UBE2D3;CDK1;PARP1;FEN1;MSH2;RFWD3;BRIP1;BRCA2;FOXM1;RECQL;PALB2;MDC1;EXO1;MCM2;E2F1;SMC1A;BRCA1;BARD1;PCNA;FANCI;PRKDC;PLK1;CDK2;USP1
Nucleotide metabolism WP404,-0.6586732377067684,-2.0896589924393885,0.0,0.0038863213492587477,19,19,POLG;PRPS2;SRM;PRPS1;RRM2;NME2;SAT1;OAZ1;IMPDH1;POLB;ADSL;ADSS;POLD1;POLA1;RRM2B;MTHFD2;HPRT1;DHFR;RRM1,ADSS;POLD1;POLA1;RRM2B;MTHFD2;HPRT1;DHFR;RRM1
Gastric Cancer Network 2 WP2363,-0.6534252384936969,-2.0491037617935275,0.0,0.0044415101134385685,31,27,EGFR;CHTF8;MYC;OTUD5;CTNNB1;PLAC8;S100A6;CHTF18;RNF144B;RAD17;TP53;FAM91A1;MTDH;AHCTF1;RFC4;CEBPZ;LMNB2;LBR;CACYBP;UBE2T;RFC3;UBE2C;BRIX1;FANCI;TOP2A;ATAD2;DSCC1,AHCTF1;RFC4;CEBPZ;LMNB2;LBR;CACYBP;UBE2T;RFC3;UBE2C;BRIX1;FANCI;TOP2A;ATAD2;DSCC1
Gastric Cancer Network 1 WP2361,-0.65924177467056,-2.1318863560197125,0.0,0.005181761799011664,29,25,S100P;ACTL6A;HIST4H4;GATD3B;H3F3A;NOTCH1;GATD3A;MCM4;CASTOR3;APC;ENST00000643444.1;RNF216;LIN9;AURKA;CEP192;ECT2;NUP107;UBE2C;KIF15;MYBL2;TOP2A;E2F7;KIF20B;CENPF;TPX2,UBE2C;KIF15;MYBL2;TOP2A;E2F7;KIF20B;CENPF;TPX2
Retinoblastoma gene in cancer WP2446,-0.6724607986270581,-2.140122127516302,0.0,0.007772642698517495,87,86,TFDP2;TFDP1;MAPK13;MYC;RBBP4;CDC25B;CHEK1;CDKN1B;RBP1;RBBP7;MCM4;DNMT1;HMGB2;NPAT;RRM2;CDKN1A;SAP30;HDAC1;CCNA2;H2AFZ;PRMT2;CCND1;TP53;STMN1;FANCG;ZNF655;SKP2;SIN3A;HLTF;SMARCA2;RABIF;ABL1;CDT1;CDK4;MSH6;WEE1;RAF1;RPA1;CCNE1;MDM2;CDC45;FAF1;E2F3;RB1;CCNB1;RFC4;MCM7;POLA1;CDC7;SMC3;SUV39H1;CCDC6;SMC2;RPA2;CDK6;CCNB2;POLD3;CCNE2;CCND3;RPA3;DCK;CDK1;PRIM1;PLK4;RFC5;ANLN;POLE2;RFC3;HMGB1;MCM3;TYMS;POLE;E2F1;DHFR;SMC1A;BARD1;PCNA;CDC25A;TOP2A;TTK;MCM6;PRKDC;ORC1;CDK2;RRM1;KIF4A,MDM2;CDC45;FAF1;E2F3;RB1;CCNB1;RFC4;MCM7;POLA1;CDC7;SMC3;SUV39H1;CCDC6;SMC2;RPA2;CDK6;CCNB2;POLD3;CCNE2;CCND3;RPA3;DCK;CDK1;PRIM1;PLK4;RFC5;ANLN;POLE2;RFC3;HMGB1;MCM3;TYMS;POLE;E2F1;DHFR;SMC1A;BARD1;PCNA;CDC25A;TOP2A;TTK;MCM6;PRKDC;ORC1;CDK2;RRM1;KIF4A
Parkin-Ubiquitin Proteasomal System pathway WP2359,-0.5980135653120999,-1.9858886916241794,0.023255813953488372,0.00863626966501944,70,51,SIAH1;UBE2L6;PSMD2;SNCA;HSPA9;UBE2J2;TUBA1A;PSMD4;UBE2G2;TUBB6;PSMC5;PSMD3;CUL1;PSMD9;PSMC1;TUBB3;PSMD8;FBXW7;TUBA1C;PSMC2;CASP8;SIAH2;UBE2J1;PSMD13;UBE2L3;PSMD12;CCNE1;PSMC3;TUBB2A;PSMD10;PSMC6;UBE2G1;PSMC4;STUB1;TUBA4A;HSPA2;HSPA5;PSMD7;TUBB4B;PSMD11;PSMD1;HSPA4;UBA1;PSMD5;HSPA14;PSMD6;PSMD14;HSPA8;TUBA1B;TUBB;RNF19A,PSMC3;TUBB2A;PSMD10;PSMC6;UBE2G1;PSMC4;STUB1;TUBA4A;HSPA2;HSPA5;PSMD7;TUBB4B;PSMD11;PSMD1;HSPA4;UBA1;PSMD5;HSPA14;PSMD6;PSMD14;HSPA8;TUBA1B;TUBB;RNF19A
One-carbon metabolism WP241,-0.6268528724292622,-1.9797659807609316,0.0,0.012436228317627994,30,22,TCN2;MTHFR;DNMT3A;MTHFS;DNMT1;GLRX;SHMT2;MTR;ALDH1L1;MTHFD1;AHCYL2;MTFMT;MTRR;MTHFD1L;SHMT1;MAT2B;MTHFD2;AHCY;GART;ATIC;TYMS;DHFR,MTFMT;MTRR;MTHFD1L;SHMT1;MAT2B;MTHFD2;AHCY;GART;ATIC;TYMS;DHFR
DNA Replication WP466,-0.7382023625400054,-2.1687189453916367,0.02127659574468085,0.01554528539703499,42,41,UBC;POLD4;MCM4;RFC2;ORC5;UBA52;POLD2;CDT1;DBF4;RPA1;ORC4;CDC45;ORC2;POLD1;RFC4;MCM7;POLA1;CDC7;PRIM2;RFC1;ORC6;RPA2;POLD3;ORC3;RPA3;GMNN;POLA2;PRIM1;MCM10;RFC5;POLE2;RFC3;MCM5;MCM3;MCM2;POLE;PCNA;MCM6;CDC6;ORC1;CDK2,CDC45;ORC2;POLD1;RFC4;MCM7;POLA1;CDC7;PRIM2;RFC1;ORC6;RPA2;POLD3;ORC3;RPA3;GMNN;POLA2;PRIM1;MCM10;RFC5;POLE2;RFC3;MCM5;MCM3;MCM2;POLE;PCNA;MCM6;CDC6;ORC1;CDK2
miRNAs involved in DNA damage response WP1545,-0.6187255677093079,-1.9163289935901309,0.0,0.01943160674629374,15,15,MYC;RAD52;CDKN1B;CREB1;CDKN1A;ATM;CCND1;TP53;ABL1;CCNE1;H2AFX;CDK6;CCND3;E2F1;CDC25A,H2AFX;CDK6;CCND3;E2F1;CDC25A
DNA Mismatch Repair WP531,-0.6948369368779668,-1.894793992257365,0.021739130434782608,0.019986795510473557,23,23,POLD4;MLH1;POLE4;RFC2;PMS2;POLE3;POLD2;MSH6;RPA1;LIG1;POLD1;RFC4;RFC1;RPA2;POLD3;RPA3;MSH2;RFC5;POLE2;RFC3;EXO1;POLE;PCNA,LIG1;POLD1;RFC4;RFC1;RPA2;POLD3;RPA3;MSH2;RFC5;POLE2;RFC3;EXO1;POLE;PCNA
